id,Name,Fueltype,Technology,Set,Country,Capacity,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
575,Steven's croft *,Bioenergy,,PP,United Kingdom,50.0,0.0,2007.0,2007.0,55.1524,-3.3809,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA43247'], 'GPD': ['GPD16770'], 'OPSD': ['OEU5152']}",5860
576,Striven,Hydro,,PP,United Kingdom,8.0,0.0,1951.0,1951.0,56.009446,-5.119467,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA43443'], 'GPD': ['GPD16796'], 'OPSD': ['OEU5274']}",6230
577,Susqueda,Hydro,,PP,Spain,88.55,0.0,1967.0,1981.0,41.980234,2.525604,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA43877'], 'GPD': ['GPD13710'], 'OPSD': ['OEU4913', 'OEU4912', 'OEU4632']}",2520
578,Tambre,Hydro,,PP,Spain,94.391,0.0,1927.0,2000.0,42.83637,-8.849735,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA44439'], 'GPD': ['GPD13713'], 'OPSD': ['OEU5014', 'OEU5013', 'OEU5015', 'OEU5017', 'OEU5016', 'OEU3398']}",2850
579,Thetford,Bioenergy,,PP,United Kingdom,41.5,0.0,1998.0,1998.0,52.447736,0.7246020000000001,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA45244'], 'GPD': ['GPD16863'], 'OPSD': ['OEU5172']}",5040
580,Torr achilty,Hydro,,PP,United Kingdom,15.0,0.0,1954.0,1954.0,57.554403,-4.598289,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA45941'], 'GPD': ['GPD16894'], 'OPSD': ['OEU5247']}",6245
581,Valparaiso,Hydro,,PP,Spain,65.1,0.0,1988.0,1988.0,41.993368,-6.271342,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA47685'], 'GPD': ['GPD13733'], 'OPSD': ['OEU4518', 'OEU4517']}",2821
582,Velle,Hydro,,PP,Spain,86.58000000000001,0.0,1966.0,1967.0,42.357771,-7.851453,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA47909'], 'GPD': ['GPD13735'], 'OPSD': ['OEU3091', 'OEU5000', 'OEU5001']}",2811
583,Mequinenza,Hydro,,PP,Spain,322.36,0.0,1964.0,1964.0,41.368983,0.273381,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA28060'], 'GPD': ['GPD13329'], 'OPSD': ['OEU4803', 'OEU4802', 'OEU4800', 'OEU4801']}",2498
584,Marina,Hydro,,PP,Spain,39.662,0.0,1958.0,1992.0,42.5103,-5.872999999999999,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA39619'], 'GPD': ['GPD13690'], 'OPSD': ['OEU2425', 'OEU4898', 'OEU4897', 'OEU4896', 'OEU2113', 'OEU2891']}",2610
585,Lussa,Hydro,,PP,United Kingdom,2.4,0.0,1952.0,1952.0,55.476427,-5.584276999999998,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA26263'], 'GPD': ['GPD16108'], 'OPSD': ['OEU5270']}",5905
586,Lubreoch,Hydro,,PP,United Kingdom,4.0,0.0,1958.0,1958.0,56.542219,-4.516817,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA26074'], 'GPD': ['GPD16104'], 'OPSD': ['OEU5236']}",6230
587,Douglas water,Hydro,,PP,United Kingdom,3.0,0.0,2008.0,2008.0,56.201767,-5.137847,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA11230'], 'GPD': ['GPD15285'], 'OPSD': ['OEU5184']}",6230
588,Edmonton,Waste,,PP,United Kingdom,60.0,0.0,1970.0,1970.0,51.616568,-0.041141,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA11817'], 'GPD': ['GPD15349'], 'OPSD': ['OEU5201']}",5022
589,Eye suffolk,Bioenergy,,PP,United Kingdom,14.3,0.0,1992.0,1992.0,52.331692,1.132061,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA12962'], 'GPD': ['GPD15382'], 'OPSD': ['OEU5169']}",5043
590,Orrin dam,Hydro,,PP,United Kingdom,18.26,0.0,1959.0,1959.0,57.554162,-4.6160809999999985,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA59309', 'CARMA32817'], 'GPD': ['GPD16358'], 'OPSD': ['OEU5245', 'OEU5246']}",6245
591,Fasnakyle,Hydro,,PP,United Kingdom,76.5,0.0,1951.0,2006.0,57.325985,-4.794452,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA13180'], 'GPD': ['GPD15401'], 'OPSD': ['OEU5225', 'OEU5226']}",6245
592,Five oaks,Oil,,PP,United Kingdom,8.7,0.0,1995.0,1995.0,51.05011500000001,-0.422073,"Department for Business Energy & Industrial Strategy, GOV","{'CARMA': ['CARMA13514'], 'GPD': ['GPD15426', 'GPD15929'], 'OPSD': ['OEU5322']}",5108
593,Flix,Hydro,,PP,Spain,52.52,0.0,1948.0,1948.0,41.2331,0.5472,"Red Eléctrica de España, SEDE","{'CARMA': ['CARMA13587'], 'GPD': ['GPD13260'], 'OPSD': ['OEU4716', 'OEU4718', 'OEU2091', 'OEU4717', 'OEU4719']}",2495
